id,slug,sku,name
23801,"truly-skanestas-sunims-vistienos-file-90-g","WP58200/TP","Truly skanėstas šunims vištienos filė, 90 g"
23796,"truly-skanestas-sunims-jautienos-dantu-sepeteliai-90-g","WP11301/TP","Truly skanėstas šunims jautienos dantų šepetėliai, 90 g"
23792,"candioli-gastrik-pet-papildas-skrandzio-rugstingumui-reguliuoti-sunims-ir-katems-30-ml","PAE6470","Candioli Gastrik Pet papildas skrandžio rūgštingumui reguliuoti šunims ir katėms, 30 ml"
23790,"candioli-renal-combi-milteliai-inkstu-funkcijai-sunims-ir-katems-70g","PAE6360","Candioli Renal Combi milteliai inkstų funkcijai, šunims ir katėms, 70g"
23788,"candioli-evexia-plus-tabletes-sunims-ir-katems-n10","PAE6359","Candioli Evexia Plus tabletės šunims ir katėms, N10"
23786,"candioli-renal-combi-pasta-30ml","PAE6356","Candioli Renal COMBI pasta, 30ml"
23782,"candioli-cystocure-forte-pasta-sunims-ir-katems-15ml","PAE5555","Candioli Cystocure Forte pasta, šunims ir katėms, 15ml"
23739,"happet-uzdaras-tualetas-katei-melynas-497x377x39","HAPQ80N","Happet uždaras tualetas katei, mėlynas, 49,7x37,7x39"
23730,"happet-keramikiniai-dubeneliai-ant-medinio-stovo-juodas-0-81l","HAPMC04","Happet keramikiniai dubenėliai ant medinio stovo, juodas, 0.81l"
23725,"happet-keramikinis-dubenelis-ant-stovo-rozinis-0-81","HAPMC03","Happet keramikinis dubenėlis ant stovo, rožinis, 0.81"
23705,"happet-bambukinis-dubenelis-gyvunui-grafito-spalvos-15l","HAPMB19","Happet bambukinis dubenėlis gyvūnui, grafito spalvos, 1,5l"
23609,"bioveta-alaptid-tepalas-zaizdoms-20g","BIOV6551","Bioveta Alaptid tepalas žaizdoms, 20g"
23607,"bioveta-kelpa-papildas-nuo-apnasu-90g","BIOV6311","Bioveta Kelpa papildas nuo apnašų, 90g"
23605,"bioveta-biodexin-antibakt-sampunas-250-m","BIOV4647","Bioveta Biodexin antibakt. šampūnas, 250 m"
23595,"bioveta-papildas-vitaplastin-forte-5-kg","BIOV1330","Bioveta papildas Vitaplastin forte, 5 kg"
23593,"bioveta-papildas-vitaplastin-forte-1-kg","BIOV1329","Bioveta papildas Vitaplastin forte, 1 kg"
23591,"vetocanis-antiparazitinis-sampunas-sunims-300ml","BIO000608","Vetocanis antiparazitinis šampūnas šunims, 300ml"
23589,"vetocanis-antiparazitinis-sampunas-katems-300ml","BIO000607","Vetocanis antiparazitinis šampūnas katėms, 300ml"
23581,"vetocanis-sampunas-sunims-trumpam-skustam-kailiui-300ml","BIO000493","Vetocanis šampūnas šunims, trumpam/skustam kailiui, 300ml"
23579,"vetocanis-sampunas-sunims-ilgam-kailiui-300ml","BIO000492","Vetocanis šampūnas šunims, ilgam kailiui, 300ml"
23573,"vetocanis-sampunas-suniukamssu-migdolu-ekstraktu-300ml","BIO000485","Vetocanis šampūnas šuniukams,su migdolų ekstraktu, 300ml"
23571,"vetocanis-sampunas-sunims-kvapams-naikinti-300ml","BIO000483","Vetocanis šampūnas šunims, kvapams naikinti, 300ml"
23502,"bazyl-ekonomik-bentonitinis-kraikas-katems","590202057799","Bazyl Ekonomik bentonitinis kraikas katėms"
23500,"landfleisch-konservai-suniukams-vistiena-antiena-bulves-800g","440641","Landfleisch konservai šuniukams, vištiena, antiena, bulvės, 800g"
